drink_name,is_alcoholic,category,glassType,drink_ingredients,drink_instructions,ingredientMeasures
Addison,Alcoholic,Cocktail,Martini Glass,"Gin, Vermouth",Shake together all the ingredients and strain into a cold glass.,"['1 1/2 shot ', '1 1/2 shot ']"
Applecar,Alcoholic,Ordinary Drink,Cocktail glass,"Applejack, Triple sec, Lemon juice","Shake all ingredients with ice, strain into a cocktail glass, and serve.","['1 oz ', '1 oz ', '1 oz ']"
Acapulco,Alcoholic,Ordinary Drink,Old-fashioned glass,"Light rum, Triple sec, Lime juice, Sugar, Egg white, Mint",Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,"['1 1/2 oz ', '1 1/2 tsp ', '1 tblsp ', '1 tsp ', '1 ', '1 ']"
Affinity,Alcoholic,Ordinary Drink,Cocktail glass,"Scotch, Sweet Vermouth, Dry Vermouth, Orange bitters","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","['1 1/2 oz ', '1 oz ', '1 oz ', '2 dashes ']"
Aviation,Alcoholic,Cocktail,Cocktail glass,"Gin, lemon juice, maraschino liqueur",Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,"['4.5 cl', '1.5 cl', '1.5 cl']"
After sex,Alcoholic,Ordinary Drink,Highball glass,"Vodka, Creme de Banane, Orange juice",Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,"['2 cl ', '1 cl ', None]"
Applejack,Alcoholic,Cocktail,Cocktail glass,"Jack Daniels, Midori melon liqueur, Sour mix","Add all ingredients into mixing glass, chill and strain into cocktail glass","['1 oz ', '1/2 oz ', '2 oz ']"
Afterglow,Non alcoholic,Cocktail,Highball Glass,"Grenadine, Orange juice, Pineapple juice",Mix. Serve over ice.,"['1 part ', '4 parts ', '4 parts ']"
Afternoon,Alcoholic,Coffee / Tea,Collins Glass,"Kahlua, Baileys irish cream, Frangelico, Coffee, Cream","Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.","['1 cl ', '1 cl ', '1 1/2 ', '4 cl hot ', None]"
Alexander,Alcoholic,Ordinary Drink,Cocktail glass,"Gin, Creme de Cacao, Light cream, Nutmeg",Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,"['1/2 oz ', '1/2 oz white ', '2 oz ', None]"
Autodafé,Alcoholic,Ordinary Drink,Highball glass,"Vodka, Lime juice, Soda water",Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.,"['4 cl ', '1 dash ', None]"
Allegheny,Alcoholic,Ordinary Drink,Cocktail glass,"Dry Vermouth, Bourbon, Blackberry brandy, Lemon juice, Lemon peel",Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,"['1 oz ', '1 oz ', '1 1/2 tsp ', '1 1/2 tsp ', '1 twist of ']"
Americano,Alcoholic,Ordinary Drink,Collins glass,"Campari, Sweet Vermouth, Lemon peel, Orange peel","Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.","['1 oz ', '1 oz red ', 'Twist of ', 'Twist of ']"
B-52,Alcoholic,Shot,Shot glass,"Baileys irish cream, Grand Marnier, Kahlua",Layer ingredients into a shot glass. Serve with a stirrer.,"['1/3 ', '1/3 ', '1/4 ']"
B-53,Alcoholic,Shot,Collins Glass,"Kahlua, Sambuca, Grand Marnier","Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52","['1/3 shot ', '1/3 shot ', '1/3 shot ']"
Bijou,Alcoholic,Cocktail,Cocktail glass,"Orange Bitters, Green Chartreuse, Gin, Sweet Vermouth","Stir in mixing glass with ice and strain
","['1 dash', '1 oz', '1 oz', '1 oz']"
Boxcar,Alcoholic,Ordinary Drink,Whiskey sour glass,"Gin, Triple sec, Lemon juice, Grenadine, Egg white","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.","['1 1/2 oz ', '1 oz ', '1 tsp ', '1/2 tsp ', '1 ']"
Big Red,Alcoholic,Shot,Shot glass,"Irish cream, Goldschlager",Pour ingredients into 1 ounce shot glass,"['1/2 oz ', '1/2 oz ']"
Bellini,Alcoholic,Ordinary Drink,Champagne Flute,"Champagne, Peach schnapps","Pour peach purée into chilled flute, add sparkling wine. Stir gently.","['6 oz ', '1 oz ']"
Bramble,Alcoholic,Ordinary Drink,Old-Fashioned glass,"Gin, lemon juice, Sugar syrup, Creme de Mure","Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.","['4 cl', '1.5 cl', '1 cl', '1.5 cl']"
Balmoral,Alcoholic,Ordinary Drink,Cocktail glass,"Scotch, Sweet Vermouth, Dry Vermouth, Bitters","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","['1 1/2 oz ', '1/2 oz ', '1/2 oz ', '2 dashes ']"
Bluebird,Alcoholic,Ordinary Drink,Cocktail glass,"Gin, Triple sec, Blue Curacao, Bitters, Maraschino cherry, Lemon peel","In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.","['1 1/2 oz ', '1/2 oz ', '1/2 oz ', '2 dashes ', '1 ', '1 twist of ']"
Brooklyn,Alcoholic,Cocktail,Cocktail glass,"Rye Whiskey, Dry Vermouth, Maraschino Liqueur, Angostura Bitters, Maraschino Cherry",Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.,"['2 oz', '1 oz', '1/4 oz', '3 dashes', '1']"
Bora Bora,Non alcoholic,Cocktail,Highball glass,"Pineapple juice, Passion fruit juice, Lemon juice, Grenadine","Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.","['10 cl ', '6 cl ', '1 cl ', '1 cl ']"
Boomerang,Alcoholic,Ordinary Drink,Cocktail glass,"Gin, Dry Vermouth, Bitters, Maraschino liqueur, Maraschino cherry","In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.","['2 oz ', '1/2 oz ', '2 dashes ', '1/2 tsp ', '1 ']"
Barracuda,Alcoholic,Ordinary Drink,Margarita glass,"Rum, Galliano, Pineapple Juice, Lime Juice, Prosecco","Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.","['4.5 cl', '1.5 cl', '6 cl', ' 1 dash', 'top up ']"
Brigadier,Alcoholic,Cocktail,Coupe Glass,"Hot Chocolate, Green Chartreuse, Cherry Heering",Mix ingredients in a warmed mug and stir.,"['4 oz', '1 oz', '1 oz']"
Broadside,Alcoholic,Cocktail,Highball glass,"151 proof rum, Scotch, Bitters, Wormwood, Ice","Half fill the glass with ice cubes. Crush the wormwood and add to ice. Pour rum, scotch and butters, then serve!","['1 shot', '1/2 shot', '3 drops', '1 Fresh', 'cubes']"
Buccaneer,Alcoholic,Beer,Beer pilsner,"Corona, Bacardi Limon",Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,"['1 ', '1 shot ']"
Brain Fart,Alcoholic,Punch / Party Drink,Punch bowl,"Everclear, Vodka, Mountain Dew, Surge, Lemon juice, Rum",Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,"['1 fifth ', '1 fifth Smirnoff red label ', '2 L ', '2 L ', '1 small bottle ', '1 pint ']"
Blackthorn,Alcoholic,Ordinary Drink,Cocktail glass,"Sweet Vermouth, Sloe gin, Lemon peel",Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,"['1 oz ', '1 1/2 oz ', '1 twist of ']"
Bob Marley,Alcoholic,Shot,Shot glass,"Midori melon liqueur, Jägermeister, Goldschlager",Layer in a 2 oz shot glass or pony glass,"['1/2 oz ', '1/2 oz ', '1/2 oz ']"
Bible Belt,Alcoholic,Other / Unknown,Highball glass,"Southern Comfort, Triple sec, Lime, Sour mix","Mix all ingredients, and pour over ice.","['2 oz ', '1/2 oz ', '2 wedges ', '2 oz ']"
Bubble Gum,Alcoholic,Shot,Shot glass,"Vodka, Banana liqueur, Orange juice, Peach schnapps",Layer in order into a shot glass.,"['1/4 ', '1/4 ', '1/4 ', '1/4 ']"
Bumble Bee,Alcoholic,Shot,Shot glass,"Baileys irish cream, Kahlua, Sambuca","This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!","['1/3 oz ', '1/3 oz ', '1/3 oz ']"
Baby Eskimo,Alcoholic,Shake,Collins Glass,"Kahlua, Milk, Vanilla ice-cream","Leave ice-cream out for about 10 minutes. Add ingredients in order, stir with chopstick (butter knife or spoon works too). Consume immediately and often. Nice and light, great for following a heavy drink.","['2 oz ', '8 oz ', '2 scoops ']"
Boston Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,"Blended whiskey, Lemon, Powdered sugar, Egg white, Lemon, Cherry","Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.","['2 oz ', 'Juice of 1/2 ', '1 tsp ', '1 ', '1 slice ', '1 ']"
Bahama Mama,Alcoholic,Cocktail,Highball glass,"Rum, Dark Rum, Banana liqueur, Grenadine, Pineapple Juice, Orange Juice, Sweet and Sour","Add 2 parts club soda or more or less to taste.

Mix it all together and pour over a bunch of ice. Drink with a straw.","['3 parts', '1 part', '1 part', '1 part', '2 parts', '2 parts', '1 part']"
Casino,Alcoholic,Ordinary Drink,Cocktail glass,"Gin, Maraschino liqueur, Lemon juice, Orange bitters, Cherry",Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,"['2 oz ', '1/4 tsp ', '1/4 tsp ', '2 dashes ', '1 ']"
Cafe Savoy,Alcoholic,Coffee / Tea,Coffee mug,"Coffee, Milk, Triple sec, Brandy","Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.","[None, '1/2 oz ', '1/2 oz ', None]"
Caipirinha,Alcoholic,Ordinary Drink,Old-fashioned glass,"Sugar, Lime, Cachaca",Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,"['2 tsp', '1 ', '2 1/2 oz ']"
Cream Soda,Alcoholic,Cocktail,Highball glass,"Spiced rum, Ginger ale",Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,"['1 oz ', None]"
Cuba Libra,Alcoholic,Ordinary Drink,Highball glass,"Dark rum, Lime, Coca-Cola, Ice",Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!,"['1-2 shot ', 'Squeeze ', 'Fill with ', None]"
Cherry Rum,Alcoholic,Ordinary Drink,Cocktail glass,"Light rum, Cherry brandy, Light cream","Shake all ingredients with ice, strain into a cocktail glass, and serve.","['1 1/4 oz ', '1 1/2 tsp ', '1 tblsp ']"
Cuba Libre,Alcoholic,Ordinary Drink,Highball glass,"Light rum, Lime, Coca-Cola",Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.,"['2 oz ', 'Juice of 1/2 ', None]"
Corn n Oil,Alcoholic,Cocktail,Old-fashioned glass,"Lime, Falernum, Angostura Bitters, Añejo rum, blackstrap rum","Cut the half lime in half again. Add the lime, falernum, and bitters to a rocks glass. Muddle. Add the rum. (Aged Barbados rum such as Plantation 5 Year is recommended). Add ice and stir. Float the blackstrap rum on top. Serve with a straw.","['1/2', '1/3 oz', '2 dashes', '1 oz', '1 oz']"
Citrus Coke,Alcoholic,Soft Drink,Highball Glass,"Bacardi Limon, Coca-Cola",Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!,"['1 part ', '2 parts ']"
Casa Blanca,Alcoholic,Ordinary Drink,Cocktail glass,"Light rum, Triple sec, Lime juice, Maraschino liqueur","Shake all ingredients with ice, strain into a cocktail glass, and serve.","['2 oz ', '1 1/2 tsp ', '1 1/2 tsp ', '1 1/2 tsp ']"
Clover Club,Alcoholic,Ordinary Drink,Cocktail glass,"Gin, Grenadine, Lemon, Egg white","Dry shake ingredients to emulsify, add ice, shake and served straight up.","['1 1/2 oz ', '2 tsp ', 'Juice of 1/2 ', '1 ']"
Caipirissima,Alcoholic,Ordinary Drink,Collins Glass,"Lime, Sugar, White rum, Ice",Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!,"['2 ', '2 tblsp ', '2-3 oz ', 'crushed ']"
City Slicker,Alcoholic,Ordinary Drink,Cocktail glass,"Brandy, Triple sec, Lemon juice","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","['2 oz ', '1/2 oz ', '1 tblsp ']"
Campari Beer,Alcoholic,Beer,Beer mug,"Lager, Campari",Use a 15 oz glass. Add Campari first. Fill with beer.,"['1 bottle ', '1 1/2 cl ']"
Chicago Fizz,Alcoholic,Ordinary Drink,Highball glass,"Light rum, Port, Lemon, Powdered sugar, Egg white, Carbonated water","Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.","['1 oz ', '1 oz ', 'Juice of 1/2 ', '1 tsp ', '1 ', None]"
Cosmopolitan,Alcoholic,Cocktail,Cocktail glass,"Vodka, Lime juice, Cointreau, Cranberry juice",Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,"['1 1/4 oz ', '1/4 oz ', '1/4 oz ', '1/4 cup ']"
Coffee-Vodka,Alcoholic,Homemade Liqueur,Collins Glass,"Water, Sugar, Coffee, Vanilla, Vodka, Caramel coloring","Boil water and sugar until dissolved. Turn off heat. Slowly add dry instant coffee and continue stirring. Add a chopped vanilla bean to the vodka, then combine the cooled sugar syrup and coffee solution with the vodka. Cover tightly and shake vigorously each day for 3 weeks. Strain and filter. Its also best to let the sugar mixture cool completely so the vodka won't evaporate when its added. If you like a smoother feel to the liqueur you can add about 1 teaspoon of glycerine to the finished product.","['2 cups ', '2 cups white ', '1/2 cup instant ', '1/2', '1 1/2 cup', None]"
Casino Royale,Alcoholic,Ordinary Drink,Whiskey sour glass,"Gin, Lemon juice, Maraschino liqueur, Orange bitters, Egg yolk","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.","['2 oz ', '1/2 oz ', '1 tsp ', '1 dash ', '1 ']"
Corpse Reviver,Alcoholic,Cocktail,Cocktail glass,"Gin, Triple Sec, Lillet Blanc, Lemon Juice, Absinthe","Shake, strain, straight up, cocktail glass rinsed with absinthe
","['3/4 oz', '3/4 oz', '3/4 oz', '3/4 oz', '1 dash']"
Chocolate Milk,Alcoholic,Shot,Shot Glass,"Chocolate liqueur, Milk, Amaretto","Put the milk in the bottom, pour the Liquer on top and add the dash of amaretto. Do not mix. SLAM IT!","['1/2 shot ', '1/2 shot ', '1 dash ']"
Clove Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Sweet Vermouth, Sloe gin, Wine","Stir all ingredients with ice, strain into a cocktail glass, and serve.","['1 oz ', '1/2 oz ', '1/2 oz Muscatel ']"
Coffee Liqueur,Alcoholic,Homemade Liqueur,Collins Glass,"Coffee, Vanilla extract, Sugar, Vodka, Water","Combine coffee, sugar and water. Simmer 1 hour and let cool. Add vanilla and vodka. Age in sealed jar 2 to 3 weeks.","['10 tblsp instant ', '4 tblsp ', '2 1/2 cups ', '1 qt ', '2 1/2 cups ']"
Coke and Drops,Non alcoholic,Soft Drink,Cocktail glass,"Coca-Cola, Lemon juice","Take a glass, pour the Coke in the glass, then you take 7 drops of lemon juice. Granish with a lemon slice on the rim of the glass.","['1 dl ', '7 drops ']"
Chocolate Drink,Non alcoholic,Cocoa,Coffee mug,"Chocolate, Milk, Water","Melt the bar in a small amount of boiling water. Add milk. Cook over low heat, whipping gently (with a whisk, i would assume) until heated well. Don't let it boil! Serve in coffee mug.","['125 gr', '3/4 L ', None]"
Cranberry Punch,Non alcoholic,Punch / Party Drink,Punch Bowl,"Cranberry juice, Sugar, Pineapple juice, Almond flavoring, Ginger ale","Combine first four ingredients. Stir until sugar is dissolved, chill. Then add ginger ale just before serving. Add ice ring to keep punch cold.","['4 cups ', '1 1/2 cup ', '4 cups ', '1 tblsp ', '2 qt ']"
Derby,Alcoholic,Ordinary Drink,Cocktail glass,"gin, Peach Bitters, Mint",Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.,"['6 cl', '2 dashes', '2 Fresh leaves']"
Diesel,Alcoholic,Beer,Pint glass,"Lager, Cider, Blackcurrant cordial",Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour sholud be very dark approaching the colour of Guiness.,"['1/2 pint ', '1/2 pint ', '1 dash ']"
Daiquiri,Alcoholic,Ordinary Drink,Cocktail glass,"Light rum, Lime, Powdered sugar",Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,"['1 1/2 oz ', 'Juice of 1/2 ', '1 tsp ']"
Danbooka,Alcoholic,Coffee / Tea,Coffee Mug,"Coffee, Everclear",pour it in and mix it.,"['3 parts ', '1 part ']"
Downshift,Alcoholic,Punch / Party Drink,Hurricane glass,"Fruit punch, Sprite, Tequila, 151 proof rum","Start with the Sprite. Next comes the tequila. After that, add the Minute Maid Fruit Punch, then float the 151. Rocks optional.","['2 part ', '1 part ', '2 shots ', 'Float Bacardi ']"
Dragonfly,Alcoholic,Ordinary Drink,Highball glass,"Gin, Ginger ale, Lime","In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge.","['1 1/2 oz ', '4 oz ', '1 ']"
Dry Martini,Alcoholic,Cocktail,Cocktail glass,"Gin, Dry Vermouth, Olive","Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.","['1 2/3 oz ', '1/3 oz ', '1 ']"
Dry Rob Roy,Alcoholic,Ordinary Drink,Cocktail glass,"Scotch, Dry Vermouth, Lemon peel","In a mixing glass half-filled with ice cubes, combine the Scotch and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.","['2 1/2 oz ', '1 1/2 tsp ', '1 twist of ']"
Dirty Nipple,Alcoholic,Shot,Shot glass,"Kahlua, Sambuca, Baileys irish cream",This is a layered shot - the Bailey's must be on top,"[None, None, None]"
Dirty Martini,Alcoholic,Cocktail,Cocktail glass,"Vodka, Dry Vermouth, Olive Brine, Lemon, Olive","Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.","['70ml/2fl oz', '1 tbsp', '2 tbsp', '1 wedge', '1']"
Darkwood Sling,Alcoholic,Soft Drink,Cocktail glass,"Cherry Heering, Soda water, Orange juice, Ice","There are many good cherry liqueurs you can use, but I prefere Heering. Add one share of the liqueur. Then you add one share of Soda. For a sour sling use Tonic (most people prefer the drink without Tonic). Afterwards you fill the glass with Orange Juice and ice cubes.","['1 part ', '1 part ', '1 part ', 'cubes']"
Dark and Stormy,Alcoholic,Ordinary Drink,Highball glass,"Dark Rum, Ginger Beer",In a highball glass filled with ice add 6cl dark rum and top with ginger beer. Garnish with lime wedge.,"['5 cl', '10 cl']"
Dark Caipirinha,Alcoholic,Cocktail,Highball glass,"demerara Sugar, Lime, Cachaca","Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well.","['2 tsp ', '1', '2 1/2 oz']"
Duchamp's Punch,Alcoholic,Cocktail,Old-fashioned glass,"Pisco, Lime Juice, Pineapple Syrup, St. Germain, Angostura Bitters, Pepper, Lavender","Shake all ingredients.
Double strain in a chilled double old fashioned glass with abig ice cube.
Garnish with a couple of lavender sprigs","['5 cl', '2.5 cl', '2.5 cl', '1.5 cl', '2 Dashes', 'Pinch', '2 sprigs']"
Damned if you do,Alcoholic,Shot,Shot glass,"Whiskey, Hot Damn",Pour into shot glass. Put in mouth. Repeat as deemed necessary.,"['0.75 oz ', '0.25 oz ']"
Dubonnet Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Dubonnet Rouge, Gin, Bitters, Lemon peel",Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,"['1 1/2 oz ', '3/4 oz ', '1 dash ', '1 twist of ']"
Drinking Chocolate,Non alcoholic,Cocoa,Coffee mug,"Heavy cream, Milk, Cinnamon, Vanilla, Chocolate, Whipped cream","Heat the cream and milk with the cinnamon and vanilla bean very slowly for 15-20 minutes. (If you don't have any beans add 1-2 tsp of vanilla after heating). Remove the bean and cinnamon. Add the chocolate. Mix until fully melted. Serve topped with some very dense fresh whipped cream. Serves 1-2 depending upon how much of a glutton you are. For a richer chocolate, use 4 oz of milk, 4 oz of cream, 4 oz of chocolate. Serve in coffee mug.","['2 oz ', '6-8 oz ', '1 stick ', '1 ', '2 oz finely chopped dark ', 'Fresh ']"
Death in the Afternoon,Alcoholic,Cocktail,Margarita glass,"Absinthe, Champagne","Easy as you like, pour the absinthe into a chilled glass, top with champagne. Must be drunk mid afternoon for the optimum effect.","['2 shots', 'Top']"
Egg Cream,Non alcoholic,Other / Unknown,Coffee mug,"Chocolate syrup, Milk, Soda water","Mix syrup and milk in a fountain glass. Add soda water, serve with a straw.","['2 tblsp ', '6 oz whole ', '6 oz ']"
Egg Nog #4,Optional alcohol,Punch / Party Drink,Punch bowl,"Egg yolk, Sugar, Milk, Light rum, Bourbon, Vanilla extract, Salt, Whipping cream, Egg white, Sugar, Nutmeg","In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups.","['6 ', '1/4 cup ', '2 cups ', '1/2 cup ', '1/2 cup ', '1 tsp ', '1/4 tsp ', '1 cup ', '6 ', '1/4 cup ', 'Ground ']"
English Highball,Alcoholic,Ordinary Drink,Highball glass,"Brandy, Gin, Sweet Vermouth, Carbonated water, Lemon peel","Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)","['3/4 oz ', '3/4 oz ', '3/4 oz ', None, None]"
Espresso Martini,Alcoholic,Cocktail,Cocktail glass,"Vodka, Kahlua, Sugar syrup","Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass","['5 cl', '1 cl', '1 dash']"
Espresso Rumtini,Alcoholic,Cocktail,Cocktail glass,"Rum, Vanilla syrup, Espresso, Coffee",Mix together in a cocktail glass. Garnish with some choclate powder and coffee beans,"['1 shot', '1/2 shot', '1 shot', '1 shot']"
Egg Nog - Healthy,Optional alcohol,Punch / Party Drink,Collins Glass,"Egg, Sugar, Condensed milk, Milk, Vanilla extract, Rum, Nutmeg","Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings.","['1/2 cup ', '3 tblsp ', '13 oz skimmed ', '3/4 cup skimmed ', '1 tsp ', '1 tsp ', '\n']"
English Rose Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Apricot brandy, Gin, Dry Vermouth, Grenadine, Lemon juice, Cherry",Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.,"['3/4 oz ', '1 1/2 oz ', '3/4 oz ', '1 tsp ', '1/4 tsp ', '1 ']"
Elderflower Caipirinha,Alcoholic,Cocktail,Collins glass,"Cachaca, Lime, Elderflower cordial",Take the glass and muddle the lime in it. Fill the glass with crushed ice and add the Cachaca. Stir well and top with some more crushed ice. Garnish with lime and enjoy!,"['60 ml', '1', '3 cl']"
